Date,Chain,Category,Buyer,Total Units,Sale Price,Cost Price,Suburb,State,Postcode,Manager
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,212,8.43,4.08,Mascot,NSW,2020,Jeremy Garcia
01/04/2016,Ready Wear,Shoes,Howard Wright,201,8.93,4.34,Dandenong,VIC,3175,Rachael Long
01/04/2016,Ready Wear,Hosiery,Ella Hickman,452,3.91,1.86,Alexandria,NSW,2015,Jeremy Garcia
01/04/2016,Ready Wear,Accessories,Maggie Mayer,310,6.22,3.23,Albany,WA,6330,Miles Hammond
01/04/2016,Ready Wear,Intimate,Sara Ferrell,381,4.3,1.87,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Mens,Bruce Curran,269,7.03,3.58,Nowra,NSW,2541,George Chester
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,389,5.12,2.73,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,172,10.03,4.63,Mildura,VIC,3500,Jerry Fulton
01/04/2016,Ready Wear,Accessories,Maggie Mayer,449,3.37,1.3,Stafford,QLD,4053,Terri Wright
01/04/2016,Bellings,Mens,Bruce Curran,303,5.66,2.58,Rockhampton,QLD,4700,Amber Ward
01/04/2016,Ready Wear,Womens,Amy Buchanan,188,8.51,3.54,Underwood,QLD,4119,Terri Wright
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,422,5.2,2.99,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Womens,Amy Buchanan,206,9.08,4.53,Bendigo,VIC,3550,Jerry Fulton
01/04/2016,Bellings,Womens,Amy Buchanan,206,9.09,4.53,Ringwood,VIC,3134,Rachael Long
01/04/2016,Ready Wear,Accessories,Maggie Mayer,399,4.74,2.37,Altona,VIC,3018,Brian Hubbard
01/04/2016,Ready Wear,Accessories,Maggie Mayer,454,3.63,1.55,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Ready Wear,Mens,Bruce Curran,302,5.87,2.74,Wagga Wagga,NSW,2650,John Gardner
01/04/2016,Ready Wear,Home,Richard Carr,492,4.95,3.02,Epping,VIC,3076,Brian Hubbard
01/04/2016,Ready Wear,Mens,Bruce Curran,202,8.8,4.1,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Shoes,Howard Wright,78,31.13,18.9,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Ready Wear,Shoes,Howard Wright,68,40.96,26.93,Bendigo,VIC,3550,Jerry Fulton
01/04/2016,Ready Wear,Mens,Bruce Curran,208,9.08,4.49,Armidale,NSW,2350,Claire Bridges
01/04/2016,Ready Wear,Shoes,Howard Wright,154,17.74,11.53,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Shoes,Howard Wright,97,33.25,23.38,Chadstone,VIC,3148,Rachael Long
01/04/2016,Bellings,Shoes,Howard Wright,48,48.85,28.89,Warrnambool,VIC,3280,Jerry Fulton
01/04/2016,Bellings,Juniors,Chester George,300,5.98,2.76,Burleigh Waters,QLD,4220,Ricky Wilkinson
01/04/2016,Ready Wear,Shoes,Howard Wright,260,7.87,4.15,Underwood,QLD,4119,Terri Wright
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,257,7.6,3.83,Epping,VIC,3076,Brian Hubbard
01/04/2016,Ready Wear,Home,Richard Carr,779,4.14,2.9,Epping,VIC,3076,Brian Hubbard
01/04/2016,Ready Wear,Home,Richard Carr,420,5.62,3.31,Belconnen,ACT,2617,George Chester
01/04/2016,Ready Wear,Hosiery,Ella Hickman,547,3.35,1.57,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Bellings,Shoes,Howard Wright,127,20.57,12.91,Penrith,NSW,2750,John Gardner
01/04/2016,Ready Wear,Womens,Amy Buchanan,232,6.83,2.62,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Shoes,Howard Wright,101,30.31,20.63,Randwick,NSW,2031,Jeremy Garcia
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,438,5.07,2.83,Rydalmere,NSW,2116,Lillian Pruitt
01/04/2016,Ready Wear,Shoes,Howard Wright,72,40.75,27.14,Dandenong,VIC,3175,Rachael Long
01/04/2016,Ready Wear,Accessories,Maggie Mayer,507,3.56,1.63,Albany,WA,6330,Miles Hammond
01/04/2016,Bellings,Mens,Bruce Curran,267,7.15,3.48,Mackay,QLD,4740,Amber Ward
01/04/2016,Bellings,Shoes,Howard Wright,70,47.7,33.6,Dural,NSW,2158,Lillian Pruitt
01/04/2016,Ready Wear,Home,Richard Carr,879,3.82,2.69,Randwick,NSW,2031,Jeremy Garcia
01/04/2016,Ready Wear,Shoes,Howard Wright,236,14.24,10.04,Dandenong,VIC,3175,Rachael Long
01/04/2016,Ready Wear,Mens,Bruce Curran,231,8.02,3.73,North Lakes,QLD,4509,Ricky Wilkinson
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,360,5.54,2.78,Ballarat,VIC,3353,Jerry Fulton
01/04/2016,Bellings,Mens,Bruce Curran,320,6.48,3.37,Marion,SA,5043,Ray Watson
01/04/2016,Ready Wear,Accessories,Maggie Mayer,504,3.54,1.57,Randwick,NSW,2031,Jeremy Garcia
01/04/2016,Ready Wear,Mens,Bruce Curran,387,5.97,3.39,Epsom,VIC,3551,Jerry Fulton
01/04/2016,Ready Wear,Shoes,Howard Wright,192,14.22,9.01,Maroochydore,QLD,4558,Shellie Thomas
01/04/2016,Ready Wear,Accessories,Maggie Mayer,467,4.33,2.19,Maroochydore,QLD,4558,Shellie Thomas
01/04/2016,Ready Wear,Shoes,Howard Wright,255,8.17,4.25,Alexandria,NSW,2015,Jeremy Garcia
01/04/2016,Bellings,Shoes,Howard Wright,246,7.86,3.78,Launceston,TAS,7250,Simone Prior
01/04/2016,Bellings,Mens,Bruce Curran,227,8.75,4.31,Glenorchy,TAS,7010,Simone Prior
01/04/2016,Ready Wear,Shoes,Howard Wright,344,5.93,2.99,Maroochydore,QLD,4558,Shellie Thomas
01/04/2016,Ready Wear,Shoes,Howard Wright,292,6.24,2.78,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,187,10.62,5.21,Glenorchy,TAS,7010,Simone Prior
01/04/2016,Ready Wear,Mens,Bruce Curran,272,7.1,3.37,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Ready Wear,Womens,Amy Buchanan,372,5.2,2.47,Albany,WA,6330,Miles Hammond
01/04/2016,Ready Wear,Accessories,Maggie Mayer,434,3.96,1.62,Ballarat,VIC,3353,Jerry Fulton
01/04/2016,Ready Wear,Home,Richard Carr,739,4.37,2.99,Dubbo,NSW,2830,John Gardner
01/04/2016,Bellings,Mens,Bruce Curran,212,9.52,4.71,Balcatta,WA,6021,Tom McKenzie
01/04/2016,Ready Wear,Intimate,Sara Ferrell,379,5.48,2.79,Chadstone,VIC,3148,Rachael Long
01/04/2016,Ready Wear,Accessories,Maggie Mayer,474,3.67,1.51,Dandenong,VIC,3175,Rachael Long
01/04/2016,Ready Wear,Accessories,Maggie Mayer,340,5.84,2.83,Wagga Wagga,NSW,2650,John Gardner
01/04/2016,Ready Wear,Intimate,Sara Ferrell,441,4.45,2.12,Wagga Wagga,NSW,2650,John Gardner
01/04/2016,Bellings,Mens,Bruce Curran,294,9.32,5.82,Dural,NSW,2158,Lillian Pruitt
01/04/2016,Ready Wear,Shoes,Howard Wright,82,34.89,22.33,Alexandria,NSW,2015,Jeremy Garcia
01/04/2016,Ready Wear,Intimate,Sara Ferrell,454,4.44,2.17,Ballarat,VIC,3353,Jerry Fulton
01/04/2016,Bellings,Shoes,Howard Wright,250,8.07,3.94,Wodonga,VIC,3690,Owen Pierce
01/04/2016,Ready Wear,Home,Richard Carr,1565,1.53,0.87,Belconnen,ACT,2617,George Chester
01/04/2016,Ready Wear,Home,Richard Carr,1016,2.68,1.66,Epsom,VIC,3551,Jerry Fulton
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,270,8.23,4.4,Stafford,QLD,4053,Terri Wright
01/04/2016,Ready Wear,Hosiery,Ella Hickman,467,3.93,1.71,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Bellings,Shoes,Howard Wright,303,6.89,3.46,Lidcombe,NSW,2141,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,315,7.03,3.73,Wodonga,VIC,3690,Owen Pierce
01/04/2016,Bellings,Mens,Bruce Curran,344,7.33,4.3,Ashfield,NSW,2131,Lillian Pruitt
01/04/2016,Ready Wear,Shoes,Howard Wright,82,35.22,22.47,Stafford,QLD,4053,Terri Wright
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,498,4.8,2.7,Altona,VIC,3018,Brian Hubbard
01/04/2016,Ready Wear,Home,Richard Carr,815,3.94,2.65,Bussleton,WA,6280,Miles Hammond
01/04/2016,Bellings,Juniors,Chester George,293,7.3,3.7,Mt Isa,QLD,4825,Caroline Tucker
01/04/2016,Ready Wear,Accessories,Maggie Mayer,486,4.5,2.32,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Juniors,Chester George,313,7.31,3.92,Joondalup,WA,6027,Tom McKenzie
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,411,5.27,2.69,Nowra,NSW,2541,George Chester
01/04/2016,Ready Wear,Womens,Amy Buchanan,265,8.58,4.56,Altona,VIC,3018,Brian Hubbard
01/04/2016,Ready Wear,Groceries,Chris Monroe,3465,1.34,1.03,Wagga Wagga,NSW,2650,John Gardner
01/04/2016,Bellings,Mens,Bruce Curran,294,8.78,5.13,Mackay,QLD,4740,Amber Ward
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,509,5.49,3.38,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Bellings,Juniors,Chester George,357,5.89,2.89,Nunawading,VIC,3131,Rachael Long
01/04/2016,Ready Wear,Groceries,Chris Monroe,3027,1.45,1.1,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Shoes,Howard Wright,229,16.75,12.04,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Ready Wear,Home,Richard Carr,885,3.92,2.7,Orange,NSW,2800,John Gardner
01/04/2016,Ready Wear,Home,Richard Carr,1090,3.82,2.82,Maroochydore,QLD,4558,Shellie Thomas
01/04/2016,Bellings,Shoes,Howard Wright,269,7.59,3.55,Burnie,TAS,7320,Simone Prior
01/04/2016,Ready Wear,Shoes,Howard Wright,255,8.98,4.71,Nowra,NSW,2541,George Chester
01/04/2016,Ready Wear,Accessories,Maggie Mayer,453,3.95,1.55,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Ready Wear,Home,Richard Carr,1228,4.19,3.3,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Ready Wear,Accessories,Maggie Mayer,569,3.19,1.27,Bussleton,WA,6280,Miles Hammond
01/04/2016,Bellings,Mens,Bruce Curran,248,8.64,4.24,Joondalup,WA,6027,Tom McKenzie
01/04/2016,Bellings,Shoes,Howard Wright,292,8.08,4.33,Ashfield,NSW,2131,Lillian Pruitt
01/04/2016,Ready Wear,Mens,Bruce Curran,283,8.39,4.52,Epping,VIC,3076,Brian Hubbard
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,522,5.06,2.95,Armidale,NSW,2350,Claire Bridges
01/04/2016,Ready Wear,Intimate,Sara Ferrell,359,6.09,3.02,Rydalmere,NSW,2116,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,284,8.43,4.54,Burnie,TAS,7320,Simone Prior
01/04/2016,Ready Wear,Shoes,Howard Wright,79,42.56,28.54,Bussleton,WA,6280,Miles Hammond
01/04/2016,Ready Wear,Groceries,Chris Monroe,2637,1.35,0.93,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Intimate,Sara Ferrell,424,5.17,2.55,Orange,NSW,2800,John Gardner
01/04/2016,Bellings,Juniors,Chester George,284,7.53,3.58,Claremont,WA,6010,Tom McKenzie
01/04/2016,Ready Wear,Intimate,Sara Ferrell,390,5.59,2.71,Altona,VIC,3018,Brian Hubbard
01/04/2016,Bellings,Mens,Bruce Curran,277,7.79,3.73,Thornleigh,NSW,2120,Lillian Pruitt
01/04/2016,Ready Wear,Accessories,Maggie Mayer,532,3.65,1.54,Nowra,NSW,2541,George Chester
01/04/2016,Bellings,Womens,Amy Buchanan,227,9.48,4.52,Warrnambool,VIC,3280,Jerry Fulton
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,460,5.86,3.41,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Shoes,Howard Wright,297,7.15,3.35,Dubbo,NSW,2830,John Gardner
01/04/2016,Bellings,Mens,Bruce Curran,285,7.96,4,Toombul,QLD,4012,Terri Wright
01/04/2016,Ready Wear,Shoes,Howard Wright,373,5.76,2.72,Dandenong,VIC,3175,Rachael Long
01/04/2016,Ready Wear,Accessories,Maggie Mayer,663,2.93,1.22,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Home,Richard Carr,640,4.35,2.58,Lismore,NSW,2480,Claire Bridges
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,627,5.07,3.26,North Lakes,QLD,4509,Ricky Wilkinson
01/04/2016,Ready Wear,Groceries,Chris Monroe,3901,1.2,0.91,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Intimate,Sara Ferrell,524,4.09,1.91,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Bellings,Juniors,Chester George,270,8.28,4.05,Thornleigh,NSW,2120,Lillian Pruitt
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,525,4.9,2.72,Stafford,QLD,4053,Terri Wright
01/04/2016,Ready Wear,Womens,Amy Buchanan,240,9.04,4.27,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Hosiery,Ella Hickman,593,3.5,1.56,North Lakes,QLD,4509,Ricky Wilkinson
01/04/2016,Bellings,Mens,Bruce Curran,290,7.78,3.81,Gympie,QLD,4570,Shellie Thomas
01/04/2016,Ready Wear,Home,Richard Carr,580,4.51,2.52,Epsom,VIC,3551,Jerry Fulton
01/04/2016,Ready Wear,Home,Richard Carr,528,5.16,2.97,Southport,QLD,4215,Ricky Wilkinson
01/04/2016,Bellings,Mens,Bruce Curran,308,7.3,3.54,Prospect,SA,5082,Ray Watson
01/04/2016,Bellings,Juniors,Chester George,318,7.7,4.06,Marion,SA,5043,Ray Watson
01/04/2016,Ready Wear,Shoes,Howard Wright,323,6.63,3.04,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,487,5.98,3.6,Epsom,VIC,3551,Jerry Fulton
01/04/2016,Ready Wear,Accessories,Maggie Mayer,670,2.94,1.2,Chadstone,VIC,3148,Rachael Long
01/04/2016,Ready Wear,Womens,Amy Buchanan,278,8.34,4.14,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Ready Wear,Shoes,Howard Wright,335,6.62,3.12,Chadstone,VIC,3148,Rachael Long
01/04/2016,Ready Wear,Womens,Amy Buchanan,263,8.58,4.12,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Ready Wear,Accessories,Maggie Mayer,507,4.89,2.57,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,298,8.78,4.84,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,303,7.73,3.85,Sunbury,VIC,3429,Jerry Fulton
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,470,6.12,3.62,Lismore,NSW,2480,Claire Bridges
01/04/2016,Bellings,Mens,Bruce Curran,296,8.13,4.15,Cairns,QLD,4870,Caroline Tucker
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,544,5.23,3.06,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Shoes,Howard Wright,190,14.42,8.18,North Lakes,QLD,4509,Ricky Wilkinson
01/04/2016,Ready Wear,Shoes,Howard Wright,291,7.43,3.36,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,506,5.07,2.72,Dubbo,NSW,2830,John Gardner
01/04/2016,Ready Wear,Home,Richard Carr,892,4.38,3.05,Stafford,QLD,4053,Terri Wright
01/04/2016,Ready Wear,Home,Richard Carr,1127,3.79,2.74,Altona,VIC,3018,Brian Hubbard
01/04/2016,Ready Wear,Womens,Amy Buchanan,213,10.59,5,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Ready Wear,Hosiery,Ella Hickman,510,4.36,2.03,Wagga Wagga,NSW,2650,John Gardner
01/04/2016,Ready Wear,Home,Richard Carr,1043,2.9,1.76,Lismore,NSW,2480,Claire Bridges
01/04/2016,Ready Wear,Intimate,Sara Ferrell,340,6.25,2.74,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Intimate,Sara Ferrell,364,5.61,2.33,Armidale,NSW,2350,Claire Bridges
01/04/2016,Ready Wear,Shoes,Howard Wright,88,33.82,20.24,Nowra,NSW,2541,George Chester
01/04/2016,Bellings,Shoes,Howard Wright,296,7.73,3.67,Tweed Heads,NSW,2485,Claire Bridges
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,507,5.21,2.83,Alexandria,NSW,2015,Jeremy Garcia
01/04/2016,Ready Wear,Shoes,Howard Wright,92,35.34,22.21,Altona,VIC,3018,Brian Hubbard
01/04/2016,Bellings,Mens,Bruce Curran,313,8.03,4.16,Claremont,WA,6010,Tom McKenzie
01/04/2016,Ready Wear,Shoes,Howard Wright,172,17.47,10.43,Rydalmere,NSW,2116,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,354,7.55,4.11,Broome,WA,6725,John Harper
01/04/2016,Bellings,Juniors,Chester George,328,7.34,3.62,Lidcombe,NSW,2141,Lillian Pruitt
01/04/2016,Bellings,Juniors,Chester George,325,7.54,3.77,Mindarie,WA,6030,Tom McKenzie
01/04/2016,Ready Wear,Shoes,Howard Wright,302,7.52,3.44,Epsom,VIC,3551,Jerry Fulton
01/04/2016,Bellings,Mens,Bruce Curran,272,8.52,3.99,Lidcombe,NSW,2141,Lillian Pruitt
01/04/2016,Ready Wear,Home,Richard Carr,613,4.91,2.9,Nowra,NSW,2541,George Chester
01/04/2016,Bellings,Shoes,Howard Wright,128,16.84,7.2,Dural,NSW,2158,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,286,8.74,4.42,Lithgow,NSW,2790,John Gardner
01/04/2016,Bellings,Juniors,Chester George,470,5.41,2.78,Shepparton,VIC,3630,Owen Pierce
01/04/2016,Ready Wear,Home,Richard Carr,862,4.51,3.07,Albany,WA,6330,Miles Hammond
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,324,8.33,4.5,Rydalmere,NSW,2116,Lillian Pruitt
01/04/2016,Ready Wear,Home,Richard Carr,496,6.55,4.05,Armidale,NSW,2350,Claire Bridges
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,537,5.56,3.25,Wagga Wagga,NSW,2650,John Gardner
01/04/2016,Bellings,Juniors,Chester George,362,7.09,3.64,Gladstone,QLD,4680,Amber Ward
01/04/2016,Ready Wear,Shoes,Howard Wright,97,33.26,20.3,Lismore,NSW,2480,Claire Bridges
01/04/2016,Ready Wear,Shoes,Howard Wright,167,22.72,15.19,Stafford,QLD,4053,Terri Wright
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,458,5.7,2.95,Orange,NSW,2800,John Gardner
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,377,7.21,3.87,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Ready Wear,Home,Richard Carr,1037,4.19,2.97,Bendigo,VIC,3550,Jerry Fulton
01/04/2016,Bellings,Mens,Bruce Curran,308,8.96,4.84,Seaford,SA,5169,Ray Watson
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,399,6.65,3.47,Bussleton,WA,6280,Miles Hammond
01/04/2016,Ready Wear,Mens,Bruce Curran,460,7.22,4.45,Rydalmere,NSW,2116,Lillian Pruitt
01/04/2016,Ready Wear,Home,Richard Carr,838,4.28,2.76,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Shoes,Howard Wright,88,41.01,26.48,Ballarat,VIC,3353,Jerry Fulton
01/04/2016,Bellings,Juniors,Chester George,353,7.37,3.73,Hervey Bay,QLD,4655,Amber Ward
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,551,5.5,3.15,Underwood,QLD,4119,Terri Wright
01/04/2016,Ready Wear,Accessories,Maggie Mayer,686,4.43,2.53,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,563,5.49,3.17,Southport,QLD,4215,Ricky Wilkinson
01/04/2016,Ready Wear,Shoes,Howard Wright,364,6.69,3.11,Armidale,NSW,2350,Claire Bridges
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,353,8.16,4.46,Bendigo,VIC,3550,Jerry Fulton
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,576,4.8,2.52,Indooroopilly,QLD,4068,Terri Wright
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,572,5.63,3.32,Randwick,NSW,2031,Jeremy Garcia
01/04/2016,Ready Wear,Shoes,Howard Wright,97,38.8,25.08,North Lakes,QLD,4509,Ricky Wilkinson
01/04/2016,Ready Wear,Shoes,Howard Wright,117,37.65,26.28,Armidale,NSW,2350,Claire Bridges
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,563,5.78,3.41,Nowra,NSW,2541,George Chester
01/04/2016,Ready Wear,Home,Richard Carr,475,7.04,4.23,Randwick,NSW,2031,Jeremy Garcia
01/04/2016,Ready Wear,Shoes,Howard Wright,253,16.27,10.97,Ballarat,VIC,3353,Jerry Fulton
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,587,5.51,3.22,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Bellings,Juniors,Chester George,374,7.1,3.51,Fyshwick,ACT,2609,George Chester
01/04/2016,Bellings,Mens,Bruce Curran,367,6.94,3.28,Ipswich,QLD,4305,Ricky Wilkinson
01/04/2016,Ready Wear,Home,Richard Carr,997,3.44,2.09,Epping,VIC,3076,Brian Hubbard
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,666,4.32,2.3,Albany,WA,6330,Miles Hammond
01/04/2016,Bellings,Juniors,Chester George,349,7.78,3.92,Inglewood,WA,6052,Tom McKenzie
01/04/2016,Bellings,Mens,Bruce Curran,348,8.3,4.42,Ballina,NSW,2478,Claire Bridges
01/04/2016,Ready Wear,Intimate,Sara Ferrell,555,4.65,2.21,Albany,WA,6330,Miles Hammond
01/04/2016,Ready Wear,Womens,Amy Buchanan,248,8.86,3.38,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Home,Richard Carr,707,5.37,3.45,Alexandria,NSW,2015,Jeremy Garcia
01/04/2016,Bellings,Mens,Bruce Curran,308,8.08,3.66,Artarmon,NSW,2064,Jeremy Garcia
01/04/2016,Ready Wear,Accessories,Maggie Mayer,757,2.92,1.11,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Womens,Amy Buchanan,425,6.73,3.51,Belconnen,ACT,2617,George Chester
01/04/2016,Ready Wear,Shoes,Howard Wright,177,21.25,13.51,Epsom,VIC,3551,Jerry Fulton
01/04/2016,Bellings,Juniors,Chester George,415,7.02,3.72,Launceston,TAS,7250,Simone Prior
01/04/2016,Ready Wear,Hosiery,Ella Hickman,672,3.87,1.82,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Ready Wear,Womens,Amy Buchanan,349,6.88,2.94,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,581,5.56,3.18,Caloundra,QLD,4551,Shellie Thomas
01/04/2016,Ready Wear,Shoes,Howard Wright,93,39.22,24.33,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Ready Wear,Shoes,Howard Wright,421,6.29,2.99,Albany,WA,6330,Miles Hammond
01/04/2016,Bellings,Juniors,Chester George,300,9.03,4.4,Mackay,QLD,4740,Amber Ward
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,587,4.85,2.48,Campbelltown,NSW,2560,George Chester
01/04/2016,Bellings,Mens,Bruce Curran,362,7.64,3.76,Launceston,TAS,7250,Simone Prior
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,386,7.88,4.24,Orange,NSW,2800,John Gardner
01/04/2016,Bellings,Mens,Bruce Curran,334,8.05,3.84,Burleigh Waters,QLD,4220,Ricky Wilkinson
01/04/2016,Bellings,Juniors,Chester George,430,6.4,3.12,Mt Gambier,SA,5290,Alex Nash
01/04/2016,Ready Wear,Home,Richard Carr,587,5.81,3.41,Dubbo,NSW,2830,John Gardner
01/04/2016,Ready Wear,Home,Richard Carr,769,4.33,2.49,Rydalmere,NSW,2116,Lillian Pruitt
01/04/2016,Ready Wear,Intimate,Sara Ferrell,539,4.96,2.33,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Home,Richard Carr,1174,4.13,2.92,Alexandria,NSW,2015,Jeremy Garcia
01/04/2016,Ready Wear,Intimate,Sara Ferrell,550,4.83,2.24,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Womens,Amy Buchanan,314,8.42,3.87,Artarmon,NSW,2064,Jeremy Garcia
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,665,5.64,3.49,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Mens,Bruce Curran,355,8.32,4.28,Wodonga,VIC,3690,Owen Pierce
01/04/2016,Ready Wear,Shoes,Howard Wright,87,40.29,23.73,Campbelltown,NSW,2560,George Chester
01/04/2016,Ready Wear,Womens,Amy Buchanan,264,8.29,2.83,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Home,Richard Carr,847,4.73,3.03,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Mens,Bruce Curran,485,6.4,3.39,Dubbo,NSW,2830,John Gardner
01/04/2016,Ready Wear,Shoes,Howard Wright,224,18.3,11.76,Randwick,NSW,2031,Jeremy Garcia
01/04/2016,Ready Wear,Home,Richard Carr,1030,4.64,3.22,Castle Hill,NSW,2154,Lillian Pruitt
01/04/2016,Bellings,Juniors,Chester George,410,7.25,3.67,Toombul,QLD,4012,Terri Wright
01/04/2016,Ready Wear,Shoes,Howard Wright,217,18.32,11.55,Bathurst,NSW,2795,John Gardner
01/04/2016,Ready Wear,Womens,Amy Buchanan,302,9.8,4.93,Albany,WA,6330,Miles Hammond
01/04/2016,Bellings,Mens,Bruce Curran,352,8.25,4.05,Dural,NSW,2158,Lillian Pruitt
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,630,5.72,3.37,Chatswood,NSW,2067,Jeremy Garcia
01/04/2016,Ready Wear,Home,Richard Carr,669,5.37,3.15,Stafford,QLD,4053,Terri Wright
01/04/2016,Ready Wear,Shoes,Howard Wright,224,17.37,10.73,Underwood,QLD,4119,Terri Wright
01/04/2016,Ready Wear,Home,Richard Carr,1127,4.15,2.83,Underwood,QLD,4119,Terri Wright
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,385,8.57,4.68,Altona,VIC,3018,Brian Hubbard
01/04/2016,Ready Wear,Home,Richard Carr,1078,3.44,2.05,Nowra,NSW,2541,George Chester
01/04/2016,Ready Wear,Home,Richard Carr,1260,3.65,2.46,Ballarat,VIC,3353,Jerry Fulton
01/04/2016,Ready Wear,Home,Richard Carr,1102,3.93,2.56,Collingwood,VIC,3066,Brian Hubbard
01/04/2016,Ready Wear,Kids,Elizabeth Gentry,604,5.38,2.87,Armidale,NSW,2350,Claire Bridges
